Số báo danh,Mã tỉnh,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,Lịch sử,Địa lý,Tin học,CN Công nghiệp,CN Nông nghiệp,GD Kinh tế và Pháp luật,Tổng điểm
1000001,HÀ NỘI,5.75,7.75,,,7.75,8.25,,,,,,,21.75
1000007,HÀ NỘI,6.35,8.0,,,6.25,7.35,,,,,,,19.95
1000011,HÀ NỘI,6.35,9.0,,,6.75,5.75,,,,,,,18.85
1000012,HÀ NỘI,9.0,9.25,,,7.0,6.35,,,,,,,22.35
1000014,HÀ NỘI,3.85,7.75,,,5.0,6.0,,,,,,,14.85
1000021,HÀ NỘI,8.5,8.5,,,8.75,8.75,,,,,,,26.0
1000022,HÀ NỘI,7.5,8.75,,,7.75,6.5,,,,,,,21.75
1000025,HÀ NỘI,7.25,8.25,,,8.5,6.75,,,,,,,22.5
1000026,HÀ NỘI,5.25,8.25,,,3.95,3.75,,,,,,,12.95
1000028,HÀ NỘI,5.25,7.0,,,5.75,6.75,,,,,,,17.75
1000031,HÀ NỘI,6.75,7.75,,,5.5,7.1,,,,,,,19.35
1000032,HÀ NỘI,8.25,8.0,,,7.25,7.5,,,,,,,23.0
1000048,HÀ NỘI,9.5,8.75,,,9.75,8.5,,,,,,,27.75
1000050,HÀ NỘI,7.0,7.75,,,8.75,8.5,,,,,,,24.25
1000054,HÀ NỘI,5.35,7.75,,,4.85,6.0,,,,,,,16.2
1000059,HÀ NỘI,8.0,7.75,,,8.75,8.0,,,,,,,24.75
1000064,HÀ NỘI,8.75,7.5,,,8.5,9.0,,,,,,,26.25
1000067,HÀ NỘI,4.5,8.5,,,4.5,4.35,,,,,,,13.35
1000070,HÀ NỘI,7.5,7.0,,,8.75,8.5,,,,,,,24.75
1000075,HÀ NỘI,4.5,6.5,,,5.0,5.85,,,,,,,15.35
1000077,HÀ NỘI,7.5,8.0,,,8.5,8.0,,,,,,,24.0
1000096,HÀ NỘI,6.75,7.25,,,7.25,8.25,,,,,,,22.25
1000104,HÀ NỘI,7.5,7.75,,,6.0,7.6,,,,,,,21.1
1000111,HÀ NỘI,7.0,8.25,,,8.25,8.75,,,,,,,24.0
1000120,HÀ NỘI,7.0,9.25,,,8.0,7.25,,,,,,,22.25
1000121,HÀ NỘI,7.5,8.5,,,9.0,8.75,,,,,,,25.25
1000136,HÀ NỘI,7.5,7.25,,,7.75,6.75,,,,,,,22.0
1000143,HÀ NỘI,8.0,6.75,,,9.25,9.25,,,,,,,26.5
1000145,HÀ NỘI,4.75,6.75,,,3.6,4.75,,,,,,,13.1
1000148,HÀ NỘI,8.5,8.5,,,9.5,8.75,,,,,,,26.75
1000149,HÀ NỘI,7.0,7.5,,,9.75,7.0,,,,,,,23.75
1000157,HÀ NỘI,9.0,7.5,,,9.25,9.0,,,,,,,27.25
1000176,HÀ NỘI,8.75,7.0,,,9.25,8.1,,,,,,,26.1
1000181,HÀ NỘI,8.5,7.75,,,7.6,7.5,,,,,,,23.6
1000183,HÀ NỘI,8.25,6.0,,,7.75,8.25,,,,,,,24.25
1000190,HÀ NỘI,7.0,7.5,,,4.35,4.85,,,,,,,16.2
1000205,HÀ NỘI,9.0,8.25,,,9.0,8.75,,,,,,,26.75
1000211,HÀ NỘI,7.0,8.0,,,8.25,8.25,,,,,,,23.5
1000227,HÀ NỘI,8.5,8.25,,,6.75,6.25,,,,,,,21.5
1000233,HÀ NỘI,7.5,8.5,,,9.5,9.5,,,,,,,26.5
1000294,HÀ NỘI,7.0,9.25,,,9.25,8.0,,,,,,,24.25
1000296,HÀ NỘI,4.25,7.75,,,4.25,5.0,,,,,,,13.5
1000308,HÀ NỘI,6.0,7.75,,,5.75,7.25,,,,,,,19.0
